date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Thu, August 1, 2024",378662,1:30 PM,Gen.G,2,Sentinels,0,2-0,Gen.G,Completed,Opening (B),Group Stage
"Thu, August 1, 2024",378663,3:55 PM,FunPlus Phoenix,1,Team Heretics,2,1-2,Team Heretics,Completed,Opening (B),Group Stage
"Fri, August 2, 2024",378657,1:30 PM,DRX,2,KRÜ Esports,1,2-1,DRX,Completed,Opening (A),Group Stage
"Fri, August 2, 2024",378656,4:30 PM,FNATIC,2,Bilibili Gaming,0,2-0,FNATIC,Completed,Opening (A),Group Stage
"Sat, August 3, 2024",378667,1:30 PM,LEVIATÁN,2,TALON,0,2-0,LEVIATÁN,Completed,Opening (C),Group Stage
"Sat, August 3, 2024",378669,4:00 PM,Team Vitality,1,Trace Esports,2,1-2,Trace Esports,Completed,Opening (C),Group Stage
"Sun, August 4, 2024",378674,1:30 PM,G2 Esports,2,Paper Rex,0,2-0,G2 Esports,Completed,Opening (D),Group Stage
"Sun, August 4, 2024",378673,3:45 PM,EDward Gaming,2,FUT Esports,0,2-0,EDward Gaming,Completed,Opening (D),Group Stage
"Tue, August 6, 2024",378664,1:30 PM,Gen.G,1,Team Heretics,2,1-2,Team Heretics,Completed,Winner's (B),Group Stage
"Tue, August 6, 2024",378658,5:05 PM,FNATIC,0,DRX,2,0-2,DRX,Completed,Winner's (A),Group Stage
"Wed, August 7, 2024",378670,1:30 PM,LEVIATÁN,1,Trace Esports,2,1-2,Trace Esports,Completed,Winner's (C),Group Stage
"Wed, August 7, 2024",378675,4:45 PM,EDward Gaming,1,G2 Esports,2,1-2,G2 Esports,Completed,Winner's (D),Group Stage
"Thu, August 8, 2024",378665,1:30 PM,Sentinels,2,FunPlus Phoenix,0,2-0,Sentinels,Completed,Elimination (B),Group Stage
"Thu, August 8, 2024",378659,3:40 PM,Bilibili Gaming,0,KRÜ Esports,2,0-2,KRÜ Esports,Completed,Elimination (A),Group Stage
"Fri, August 9, 2024",378671,1:30 PM,TALON,0,Team Vitality,2,0-2,Team Vitality,Completed,Elimination (C),Group Stage
"Fri, August 9, 2024",378676,3:55 PM,FUT Esports,0,Paper Rex,2,0-2,Paper Rex,Completed,Elimination (D),Group Stage
"Sat, August 10, 2024",378666,1:30 PM,Gen.G,0,Sentinels,2,0-2,Sentinels,Completed,Decider (B),Group Stage
"Sat, August 10, 2024",378660,3:45 PM,FNATIC,2,KRÜ Esports,1,2-1,FNATIC,Completed,Decider (A),Group Stage
"Sun, August 11, 2024",378672,1:30 PM,LEVIATÁN,2,Team Vitality,0,2-0,LEVIATÁN,Completed,Decider (C),Group Stage
"Sun, August 11, 2024",378677,3:45 PM,EDward Gaming,2,Paper Rex,1,2-1,EDward Gaming,Completed,Decider (D),Group Stage
"Wed, August 14, 2024",378822,1:30 PM,DRX,0,Sentinels,2,0-2,Sentinels,Completed,Upper Quarterfinals,Playoffs
"Wed, August 14, 2024",378823,3:55 PM,Trace Esports,0,EDward Gaming,2,0-2,EDward Gaming,Completed,Upper Quarterfinals,Playoffs
"Thu, August 15, 2024",378824,1:30 PM,G2 Esports,0,LEVIATÁN,2,0-2,LEVIATÁN,Completed,Upper Quarterfinals,Playoffs
"Thu, August 15, 2024",378825,4:05 PM,Team Heretics,2,FNATIC,0,2-0,Team Heretics,Completed,Upper Quarterfinals,Playoffs
"Fri, August 16, 2024",378831,1:30 PM,DRX,2,Trace Esports,0,2-0,DRX,Completed,Lower Round 1,Playoffs
"Fri, August 16, 2024",378832,3:20 PM,G2 Esports,0,FNATIC,2,0-2,FNATIC,Completed,Lower Round 1,Playoffs
"Sat, August 17, 2024",378826,1:30 PM,Sentinels,1,EDward Gaming,2,1-2,EDward Gaming,Completed,Upper Semifinals,Playoffs
"Sat, August 17, 2024",378827,4:45 PM,LEVIATÁN,2,Team Heretics,0,2-0,LEVIATÁN,Completed,Upper Semifinals,Playoffs
"Sun, August 18, 2024",378834,1:30 PM,Sentinels,2,FNATIC,1,2-1,Sentinels,Completed,Lower Round 2,Playoffs
"Sun, August 18, 2024",378833,4:55 PM,Team Heretics,2,DRX,1,2-1,Team Heretics,Completed,Lower Round 2,Playoffs
"Fri, August 23, 2024",378828,12:30 PM,EDward Gaming,2,LEVIATÁN,1,2-1,EDward Gaming,Completed,Upper Final,Playoffs
"Fri, August 23, 2024",378835,4:15 PM,Team Heretics,2,Sentinels,1,2-1,Team Heretics,Completed,Lower Round 3,Playoffs
"Sat, August 24, 2024",378836,12:30 PM,LEVIATÁN,1,Team Heretics,3,1-3,Team Heretics,Completed,Lower Final,Playoffs
"Sun, August 25, 2024",378829,12:30 PM,EDward Gaming,3,Team Heretics,2,3-2,EDward Gaming,Completed,Grand Final,Playoffs
